#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B2E102
#Date Time: 2023-09-18 13:58:14.923
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 31
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.46263 V
#Offset: 0.000174139 V
#Relative: no
#Channel: Channel 2
#Range: 5.51599 V
#Offset: -9.29258e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
100.0000000000001,0.04346188899262018,22.93661502814393,177.9812394205136
125.8925411794169,0.04349724270023302,22.91945220069644,178.417029599593
158.4893192461114,0.04354907912021276,22.8921003359704,178.8517357740081
199.5262314968881,0.04361234264334878,22.85949182571239,179.2301509459915
251.1886431509582,0.04365802488966655,22.83535650467736,179.568898456671
316.2277660168383,0.04366320549372849,22.83279134953295,179.9705544886931
398.1071705534974,0.04368171653316915,22.82395786043631,-179.6567049332261
501.187233627273,0.04371931203641092,22.80429560173127,-179.2526652795245
630.9573444801937,0.04373065554139022,22.7988347304966,-178.7559495921462
794.3282347242822,0.04370058362272601,22.81467194384121,-178.1720812442861
1000,0.0437150645327044,22.80729710191178,-177.5246558794298
1258.925411794168,0.04368108406357122,22.825754930754,-176.7328959281576
1584.893192461115,0.04367870794050868,22.82869101735302,-175.7106357745834
1995.262314968881,0.04359368518194026,22.87508067765024,-174.5482914325545
2511.886431509583,0.04347357558062595,22.94177013918825,-173.0077819106251
3162.277660168382,0.04327139318437345,23.05380588291609,-171.1983293285928
3981.071705534974,0.04293102865170776,23.24448171393371,-168.8852685778189
5011.872336272725,0.04246142315379258,23.51279094049939,-166.0858260578362
6309.573444801934,0.04172059355007494,23.94459409296578,-162.6853217215561
7943.282347242819,0.04061545585500688,24.61279728860302,-158.6635815970452
10000,0.0391198385617231,25.56188326120704,-153.8485351878672
12589.25411794167,0.03691407201583706,27.07058359286002,-148.4536893901038
15848.93192461114,0.03428773422157692,29.22266170657081,-142.5231088800697
19952.62314968881,0.03100056349604448,32.34282673337761,-136.4488903030697
25118.86431509582,0.02738874261589706,36.60435394386913,-130.3414557022279
31622.77660168381,0.02361081420384025,42.54840432237516,-124.7190944635998
39810.71705534974,0.01987848072753107,50.58305149665938,-119.7905995526517
50118.72336272725,0.0165429758827633,60.80518050731381,-115.7516240099999
63095.73444801934,0.01366884805943348,73.71202153354484,-112.0063529774309
79432.82347242816,0.01125657735000559,89.51634193881991,-108.8795156110134
100000,0.009155860057830315,110.3664037030444,-106.0560975697851
