#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B2E102
#Date Time: 2023-09-18 13:56:32.090
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 31
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.46263 V
#Offset: 0.000174139 V
#Relative: no
#Channel: Channel 2
#Range: 5.51599 V
#Offset: -9.29258e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
100.0000000000001,0.09024022726929939,11.07766785618072,177.2597980631413
125.8925411794169,0.09042820957282681,11.05632331957943,177.6824314361798
158.4893192461114,0.09059385405016764,11.03743987804284,178.0717573120495
199.5262314968881,0.09071520594156032,11.02370147374402,178.3769547437859
251.1886431509582,0.09083911764371164,11.00963889054928,178.6382040412223
316.2277660168383,0.09090196506640584,11.00241856934292,178.8553270218114
398.1071705534974,0.0909662802798709,10.99533905562332,179.0450591579822
501.187233627273,0.09103108440244917,10.98795741221316,179.2017934024726
630.9573444801937,0.09110134676733461,10.97993483892779,179.3361623932445
794.3282347242822,0.09113022403949021,10.97683495135455,179.4354405189007
1000,0.09118063532049413,10.9715725676856,179.5333240855553
1258.925411794168,0.09121453314275361,10.96808321859759,179.6188721659555
1584.893192461115,0.09129565179628846,10.95923924350006,179.6803425998855
1995.262314968881,0.09129889199692262,10.95940744298262,179.7520063647704
2511.886431509583,0.09136324162283176,10.95386771106321,179.7972293148653
3162.277660168382,0.09138588448506765,10.95335867649776,179.83563237201
3981.071705534974,0.09145939741337221,10.94756048121362,179.8958370175612
5011.872336272725,0.09149204312728504,10.94700149064802,179.9512990494474
6309.573444801934,0.09149353534438488,10.95262499004449,179.9771367649428
7943.282347242819,0.09159250973934288,10.94720724523248,-179.9357656028189
10000,0.09158403000142709,10.94890267598359,-179.9443166076682
12589.25411794167,0.09157080787730543,10.94124631996885,-179.8536507542552
15848.93192461114,0.09171395228015286,10.94926751520509,-179.7771256293898
19952.62314968881,0.09172497646052737,10.95192854838544,-179.7113289092653
25118.86431509582,0.09168499504491645,10.95131518565884,-179.6910295251491
31622.77660168381,0.09181500255635602,10.95557723930993,-179.5333115201674
39810.71705534974,0.0919428493973793,10.94745447655236,-179.4991343168992
50118.72336272725,0.09205002779090746,10.93650829278655,-179.3642399976335
63095.73444801934,0.09214544772895826,10.94370108777617,-179.2285591365359
79432.82347242816,0.09248824518443167,10.90392583688893,-179.1303066858217
100000,0.09300805110150881,10.86516856698369,-179.0267875214454
