#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B0E76B
#Date Time: 2023-10-19 18:29:17.676
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44828 V
#Offset: -0.00010025 V
#Relative: no
#Channel: Channel 2
#Range: 5.42508 V
#Offset: 0.000324114 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
100.0000000000001,0.9981264599575714,0.03242448173221411,-64.68697295773188
107.1519305237607,1.000034997743027,0.03338141921086495,-67.51321309577492
114.8153621496884,0.9994204571009481,0.03492016232012673,-64.91862788014579
123.0268770812382,0.998757825590468,0.03698507917424177,-67.89253930579127
131.8256738556409,0.9983672472579388,0.04114707733525535,-69.51879687566002
141.2537544622755,0.9976413428913696,0.04239821491082959,-72.15663441628017
151.356124843621,0.9981835430170914,0.04715209737007673,-71.69150085014525
162.1810097358932,0.9967356309952948,0.04844807749098509,-73.47530670788149
173.7800828749376,0.9969446665700229,0.05190064815858637,-74.50306422215431
186.2087136662869,0.9971081174392337,0.05745786323986053,-73.67811471530068
199.5262314968881,0.997160150743899,0.06031299092675044,-75.39929286225453
213.7962089502235,0.9967127058201087,0.06528147199735412,-77.59209594940089
229.0867652767774,0.9983863524184798,0.07064723953748565,-78.81516771696498
245.4708915685034,0.9981305995316022,0.07179522254000043,-79.01985113832899
263.0267991895385,0.9987923664456192,0.07971530396578361,-80.15469450048022
281.8382931264458,0.9989971027557708,0.0852226902756269,-80.7539420243487
301.9951720402019,0.9975764179995408,0.08985919058575281,-81.75172759495021
323.5936569296288,1.000412751616697,0.09729345479791703,-82.24531478291085
346.7368504525317,0.9992879003507346,0.1027704867863245,-82.61440011822084
371.5352290971728,0.9980109746741939,0.1115597730853115,-83.48246301295191
398.1071705534973,0.9980713976635219,0.1179624149020473,-83.90272599057603
