#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B0E76B
#Date Time: 2023-10-19 18:38:39.871
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44828 V
#Offset: -0.00010025 V
#Relative: no
#Channel: Channel 2
#Range: 5.42508 V
#Offset: 0.000324114 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.01924732655566916,-44.28628956174806,19.4190592030323
107.1519305237607,-0.006998220334511785,-40.22104538971642,29.97899144495479
114.8153621496884,-0.04273530200468442,-43.24476361922593,27.08067408631862
123.0268770812382,-0.007380302118581403,-41.58911213267916,35.12257847082481
131.8256738556409,-0.02164241697453878,-42.61950011543301,40.35500620622212
141.2537544622755,-0.01708132620219031,-41.86577803461777,42.54988386553437
151.356124843621,-0.02458463707029468,-42.55201684000465,25.01764532189431
162.1810097358932,-0.004638541086137019,-40.89824621997201,40.97199283814678
173.7800828749376,-0.0058966306313955,-39.49138588874596,43.7183734734665
186.2087136662869,-0.02600783855637038,-40.4517553866054,45.32716083087838
199.5262314968881,-0.004739403050229741,-41.25707955891343,46.73563044343631
213.7962089502235,-0.02813186021160552,-38.97491222960938,55.87607362405454
229.0867652767774,-0.002716324922273181,-39.39352282348578,46.37264320700476
245.4708915685034,-0.005611462352032096,-39.11033926399488,49.26167253186783
263.0267991895385,-0.01436355405840541,-39.47481667582151,58.39042494733982
281.8382931264458,-0.01584090960183516,-37.63474021211717,58.64101077221579
301.9951720402019,-0.01615353832820117,-38.6884915795842,57.31126690064643
323.5936569296288,-0.001501851066602641,-37.25596862520574,65.6625966179199
346.7368504525317,-0.02611725172581608,-35.91844242983269,65.51146801074384
371.5352290971728,-0.01988130318110253,-36.91673480489043,65.0884728090053
398.1071705534973,-0.01366268991716676,-36.4396883089302,59.39883229921645
426.5795188015931,-0.02018221255187841,-35.77350477119045,73.14177937655423
